loc_name,muni,address,prov
Cannabis Hut Ltd,Scarborough,1715 Victoria Park Ave,Ontario
Shinybud Cannabis Co. 17305 Cornwall Center ,Cornwall,17305 Cornwall Centre Rd Unit 3,Ontario
Lindsay Cannabis Store,Lindsay,17 Kent St W,Ontario
Clouded,Hamilton,188 Locke St S,Ontario
Taste Buds Cannabis,Chatham,188 Park St,Ontario
Highties Cannabis Store,Lancaster,184 Military Rd,Ontario
To Be Determined,Port Hope,20 Jocelyn St,Ontario
Tweed,Ottawa,1970 Walkley Rd,Ontario
Club Canapa Cannabis ,North York,2 Satterly Rd,Ontario
Highties Cannabis Store,Orleans,2122 St. Joseph Blvd,Ontario
Sessions Cannabis - Sault Ste Marie,Sault Ste. Marie,216 Second Line W,Ontario
Tweed,Nepean,2162 Prince Of Wales Dr,Ontario
True North Cannabis Co. ,Timmins,211 Craig St,Ontario
Rooted Zen Cannabis Co.,Hanover,209 10Th St,Ontario
Superette,Toronto,206 Dupont St,Ontario
Cannabis & More,St Catharines,230 Ontario St,Ontario
Green Maple Cannabis,Toronto,228 Mavety St,Ontario
True North Cannabis Co.,Simcoe,22 Robinson St,Ontario
Shinybud Cannabis Co. Carling Ottawa,Ottawa,2200 Carling Ave,Ontario
Sessions Cannabis - Homer Watson,Kitchener,2480 Homer Watson Blvd,Ontario
Mota Toke,Toronto,249 Greenwood Ave,Ontario
Soul Rebel Cannabis Co.,Scarborough,2416 Eglinton Ave E,Ontario
Bonnefire,Toronto,244 Queen St W,Ontario
Ashario,Thornton,239 Barrie St,Ontario
Rainbow Thunder Bay Cannabis Accessories,Thunder Bay,264 Bay St,Ontario
Sessions Cannabis Elliot Lake,Elliot Lake,26 Prince Edward Walk,Ontario
Tony’S Joint,Leamington,256 Talbot St W,Ontario
Taste Buds Cannabis,North York,2544 Weston Rd,Ontario
True North Cannabis Co.,Huntsville,30 Main St E,Ontario
Caliwood,Etobicoke,3351 Lake Shore Blvd W,Ontario
Stonecrop Cannabis,Scarborough,3226 Eglinton Ave E,Ontario
The Bud Hub,St Thomas,321 Talbot St,Ontario
True North Cannabis Company,Hamilton,326 Ottawa St N,Ontario
420 Love 3259 Lakeshore Boulevard West,Etobicoke,3259 Lake Shore Blvd W,Ontario
Weedjar,York,355 Oakwood Ave,Ontario
Oh Cannabis,North York,344 Wilson Ave,Ontario
Scarlet Fire Cannabis,North York,3852 Bathurst St,Ontario
Cannaco The Cannabis Company,Trenton,39 Dundas St W,Ontario
Gram Station,Hamilton,368 Main St E,Ontario
Bongo'S Lifestyles Inc.,Peterborough,374 George St N,Ontario
Proherbition,Lindsay,363 Kent St W,Ontario
